trial,vaccine,manufacturer,time_period_start,time_period_end,discount_level,quantity
23,Rotavirus,GSK,3,3,2,0.0
23,Rotavirus,GSK,3,3,1,0.0
23,Rotavirus,GSK,1,5,2,0.0
23,Rotavirus,GSK,1,5,1,60100.0
23,Rotavirus,GSK,1,4,2,0.0
23,Rotavirus,GSK,1,4,1,0.0
23,Rotavirus,GSK,1,2,2,0.0
23,Rotavirus,GSK,1,2,1,0.0
23,Rotavirus,GSK,1,3,2,0.0
23,Rotavirus,GSK,1,3,1,30040.0
23,Rotavirus,GSK,1,1,2,0.0
23,Rotavirus,GSK,1,1,1,30040.0
23,TT,Serum_Institute,5,5,2,0.0
23,TT,Serum_Institute,5,5,1,0.0
23,TT,Serum_Institute,5,6,2,0.0
23,TT,Serum_Institute,5,6,1,0.0
23,TT,Serum_Institute,5,7,2,0.0
23,TT,Serum_Institute,5,7,1,9.094947017729282e-13
23,TT,Serum_Institute,5,9,2,0.0
23,TT,Serum_Institute,5,9,1,0.0
23,TT,Serum_Institute,5,8,2,0.0
23,TT,Serum_Institute,5,8,1,0.0
23,TT,Serum_Institute,4,5,2,0.0
23,TT,Serum_Institute,4,5,1,9.094947017729282e-13
23,TT,Serum_Institute,4,4,2,0.0
23,TT,Serum_Institute,4,4,1,4.547473508864641e-13
23,TT,Serum_Institute,4,6,2,0.0
23,TT,Serum_Institute,4,6,1,0.0
23,TT,Serum_Institute,4,7,2,0.0
23,TT,Serum_Institute,4,7,1,1.8189894035458565e-12
23,TT,Serum_Institute,4,8,2,0.0
23,TT,Serum_Institute,4,8,1,0.0
23,TT,Serum_Institute,6,6,2,0.0
23,TT,Serum_Institute,6,6,1,0.0
23,TT,Serum_Institute,6,7,2,0.0
23,TT,Serum_Institute,6,7,1,0.0
23,TT,Serum_Institute,6,10,2,0.0
23,TT,Serum_Institute,6,10,1,0.0
23,TT,Serum_Institute,6,9,2,0.0
23,TT,Serum_Institute,6,9,1,0.0
23,TT,Serum_Institute,6,8,2,0.0
23,TT,Serum_Institute,6,8,1,9.094947017729282e-13
23,TT,Serum_Institute,7,7,2,0.0
23,TT,Serum_Institute,7,7,1,0.0
23,TT,Serum_Institute,7,10,2,0.0
23,TT,Serum_Institute,7,10,1,0.0
23,TT,Serum_Institute,7,9,2,0.0
23,TT,Serum_Institute,7,9,1,9.094947017729282e-13
23,TT,Serum_Institute,7,8,2,0.0
23,TT,Serum_Institute,7,8,1,0.0
23,TT,Serum_Institute,2,5,2,0.0
23,TT,Serum_Institute,2,5,1,2.7284841053187847e-12
23,TT,Serum_Institute,2,4,2,0.0
23,TT,Serum_Institute,2,4,1,0.0
23,TT,Serum_Institute,2,6,2,0.0
23,TT,Serum_Institute,2,6,1,0.0
23,TT,Serum_Institute,2,2,2,0.0
23,TT,Serum_Institute,2,2,1,2.2737367544323206e-13
23,TT,Serum_Institute,2,3,2,0.0
23,TT,Serum_Institute,2,3,1,0.0
23,TT,Serum_Institute,10,10,2,0.0
23,TT,Serum_Institute,10,10,1,0.0
23,TT,Serum_Institute,9,10,2,0.0
23,TT,Serum_Institute,9,10,1,0.0
23,TT,Serum_Institute,9,9,2,0.0
23,TT,Serum_Institute,9,9,1,0.0
23,TT,Serum_Institute,8,10,2,0.0
23,TT,Serum_Institute,8,10,1,9.094947017729282e-13
23,TT,Serum_Institute,8,9,2,0.0
23,TT,Serum_Institute,8,9,1,0.0
23,TT,Serum_Institute,8,8,2,0.0
23,TT,Serum_Institute,8,8,1,0.0
23,TT,Serum_Institute,3,5,2,0.0
23,TT,Serum_Institute,3,5,1,0.0
23,TT,Serum_Institute,3,4,2,0.0
23,TT,Serum_Institute,3,4,1,0.0
23,TT,Serum_Institute,3,6,2,0.0
23,TT,Serum_Institute,3,6,1,0.0
23,TT,Serum_Institute,3,7,2,0.0
23,TT,Serum_Institute,3,7,1,3.637978807091713e-12
23,TT,Serum_Institute,3,3,2,0.0
23,TT,Serum_Institute,3,3,1,0.0
23,TT,Serum_Institute,1,5,2,0.0
23,TT,Serum_Institute,1,5,1,0.0
23,TT,Serum_Institute,1,4,2,0.0
23,TT,Serum_Institute,1,4,1,0.0
23,TT,Serum_Institute,1,2,2,0.0
23,TT,Serum_Institute,1,2,1,0.0
23,TT,Serum_Institute,1,3,2,0.0
23,TT,Serum_Institute,1,3,1,1.8189894035458565e-12
23,TT,Serum_Institute,1,1,2,0.0
23,TT,Serum_Institute,1,1,1,0.0
23,TT,BB_NCIPD,5,5,2,0.0
23,TT,BB_NCIPD,5,5,1,0.0
23,TT,BB_NCIPD,5,6,2,0.0
23,TT,BB_NCIPD,5,6,1,0.0
23,TT,BB_NCIPD,5,7,2,0.0
23,TT,BB_NCIPD,5,7,1,3.637978807091713e-12
23,TT,BB_NCIPD,5,9,2,0.0
23,TT,BB_NCIPD,5,9,1,0.0
23,TT,BB_NCIPD,5,8,2,0.0
23,TT,BB_NCIPD,5,8,1,4536.0
23,TT,BB_NCIPD,4,5,2,0.0
23,TT,BB_NCIPD,4,5,1,0.0
23,TT,BB_NCIPD,4,4,2,0.0
23,TT,BB_NCIPD,4,4,1,0.0
23,TT,BB_NCIPD,4,6,2,0.0
23,TT,BB_NCIPD,4,6,1,245.00000000000182
23,TT,BB_NCIPD,4,7,2,0.0
23,TT,BB_NCIPD,4,7,1,245.0
23,TT,BB_NCIPD,4,8,2,0.0
23,TT,BB_NCIPD,4,8,1,0.0
23,TT,BB_NCIPD,6,6,2,0.0
23,TT,BB_NCIPD,6,6,1,0.0
23,TT,BB_NCIPD,6,7,2,0.0
23,TT,BB_NCIPD,6,7,1,0.0
23,TT,BB_NCIPD,6,10,2,0.0
23,TT,BB_NCIPD,6,10,1,9464.0
23,TT,BB_NCIPD,6,9,2,0.0
23,TT,BB_NCIPD,6,9,1,9464.0
23,TT,BB_NCIPD,6,8,2,0.0
23,TT,BB_NCIPD,6,8,1,0.0
23,TT,BB_NCIPD,7,7,2,0.0
23,TT,BB_NCIPD,7,7,1,0.0
23,TT,BB_NCIPD,7,10,2,0.0
23,TT,BB_NCIPD,7,10,1,0.0
23,TT,BB_NCIPD,7,9,2,0.0
23,TT,BB_NCIPD,7,9,1,0.0
23,TT,BB_NCIPD,7,8,2,0.0
23,TT,BB_NCIPD,7,8,1,0.0
23,TT,BB_NCIPD,2,5,2,0.0
23,TT,BB_NCIPD,2,5,1,0.0
23,TT,BB_NCIPD,2,4,2,0.0
23,TT,BB_NCIPD,2,4,1,0.0
23,TT,BB_NCIPD,2,6,2,0.0
23,TT,BB_NCIPD,2,6,1,245.0
23,TT,BB_NCIPD,2,2,2,0.0
23,TT,BB_NCIPD,2,2,1,0.0
23,TT,BB_NCIPD,2,3,2,0.0
23,TT,BB_NCIPD,2,3,1,0.0
23,TT,BB_NCIPD,10,10,2,0.0
23,TT,BB_NCIPD,10,10,1,0.0
23,TT,BB_NCIPD,9,10,2,0.0
23,TT,BB_NCIPD,9,10,1,0.0
23,TT,BB_NCIPD,9,9,2,0.0
23,TT,BB_NCIPD,9,9,1,0.0
23,TT,BB_NCIPD,8,10,2,0.0
23,TT,BB_NCIPD,8,10,1,0.0
23,TT,BB_NCIPD,8,9,2,0.0
23,TT,BB_NCIPD,8,9,1,0.0
23,TT,BB_NCIPD,8,8,2,0.0
23,TT,BB_NCIPD,8,8,1,0.0
23,TT,BB_NCIPD,3,5,2,0.0
23,TT,BB_NCIPD,3,5,1,0.0
23,TT,BB_NCIPD,3,4,2,0.0
23,TT,BB_NCIPD,3,4,1,0.0
23,TT,BB_NCIPD,3,6,2,0.0
23,TT,BB_NCIPD,3,6,1,245.0
23,TT,BB_NCIPD,3,7,2,0.0
23,TT,BB_NCIPD,3,7,1,245.0
23,TT,BB_NCIPD,3,3,2,0.0
23,TT,BB_NCIPD,3,3,1,0.0
23,TT,BB_NCIPD,1,5,2,0.0
23,TT,BB_NCIPD,1,5,1,0.0
23,TT,BB_NCIPD,1,4,2,0.0
23,TT,BB_NCIPD,1,4,1,0.0
23,TT,BB_NCIPD,1,2,2,0.0
23,TT,BB_NCIPD,1,2,1,0.0
23,TT,BB_NCIPD,1,3,2,0.0
23,TT,BB_NCIPD,1,3,1,0.0
23,TT,BB_NCIPD,1,1,2,0.0
23,TT,BB_NCIPD,1,1,1,0.0
23,TT,Biological_E,5,5,2,0.0
23,TT,Biological_E,5,5,1,0.0
23,TT,Biological_E,5,6,2,0.0
23,TT,Biological_E,5,6,1,0.0
23,TT,Biological_E,5,7,2,0.0
23,TT,Biological_E,5,7,1,1.4551915228366852e-11
23,TT,Biological_E,5,9,2,0.0
23,TT,Biological_E,5,9,1,0.0
23,TT,Biological_E,5,8,2,0.0
23,TT,Biological_E,5,8,1,0.0
23,TT,Biological_E,4,5,2,0.0
23,TT,Biological_E,4,5,1,0.0
23,TT,Biological_E,4,4,2,0.0
23,TT,Biological_E,4,4,1,0.0
23,TT,Biological_E,4,6,2,0.0
23,TT,Biological_E,4,6,1,7.275957614183426e-12
23,TT,Biological_E,4,7,2,0.0
23,TT,Biological_E,4,7,1,0.0
23,TT,Biological_E,4,8,2,0.0
23,TT,Biological_E,4,8,1,0.0
23,TT,Biological_E,6,6,2,0.0
23,TT,Biological_E,6,6,1,0.0
23,TT,Biological_E,6,7,2,0.0
23,TT,Biological_E,6,7,1,0.0
23,TT,Biological_E,6,10,2,0.0
23,TT,Biological_E,6,10,1,0.0
23,TT,Biological_E,6,9,2,0.0
23,TT,Biological_E,6,9,1,0.0
23,TT,Biological_E,6,8,2,0.0
23,TT,Biological_E,6,8,1,1.4551915228366852e-11
23,TT,Biological_E,7,7,2,0.0
23,TT,Biological_E,7,7,1,0.0
23,TT,Biological_E,7,10,2,0.0
23,TT,Biological_E,7,10,1,0.0
23,TT,Biological_E,7,9,2,0.0
23,TT,Biological_E,7,9,1,1.4551915228366852e-11
23,TT,Biological_E,7,8,2,0.0
23,TT,Biological_E,7,8,1,0.0
23,TT,Biological_E,2,5,2,0.0
23,TT,Biological_E,2,5,1,0.0
23,TT,Biological_E,2,4,2,0.0
23,TT,Biological_E,2,4,1,3.637978807091713e-12
23,TT,Biological_E,2,6,2,0.0
23,TT,Biological_E,2,6,1,0.0
23,TT,Biological_E,2,2,2,0.0
23,TT,Biological_E,2,2,1,0.0
23,TT,Biological_E,2,3,2,0.0
23,TT,Biological_E,2,3,1,0.0
23,TT,Biological_E,10,10,2,0.0
23,TT,Biological_E,10,10,1,0.0
23,TT,Biological_E,9,10,2,0.0
23,TT,Biological_E,9,10,1,0.0
23,TT,Biological_E,9,9,2,0.0
23,TT,Biological_E,9,9,1,0.0
23,TT,Biological_E,8,10,2,0.0
23,TT,Biological_E,8,10,1,1.4551915228366852e-11
23,TT,Biological_E,8,9,2,0.0
23,TT,Biological_E,8,9,1,0.0
23,TT,Biological_E,8,8,2,0.0
23,TT,Biological_E,8,8,1,0.0
23,TT,Biological_E,3,5,2,0.0
23,TT,Biological_E,3,5,1,7.275957614183426e-12
23,TT,Biological_E,3,4,2,0.0
23,TT,Biological_E,3,4,1,0.0
23,TT,Biological_E,3,6,2,0.0
23,TT,Biological_E,3,6,1,0.0
23,TT,Biological_E,3,7,2,0.0
23,TT,Biological_E,3,7,1,0.0
23,TT,Biological_E,3,3,2,0.0
23,TT,Biological_E,3,3,1,0.0
23,TT,Biological_E,1,5,2,0.0
23,TT,Biological_E,1,5,1,0.0
23,TT,Biological_E,1,4,2,0.0
23,TT,Biological_E,1,4,1,0.0
